"Shop","Магазин"
"About Us","О нас"
"Guide shop","Гид по обуви"
"Made to order","Работа на заказ"

"Our shoes","НАША ОБУВЬ"
"OUR SERVICES","НАШИ УСЛУГИ"
"ABOUT COMPANY","О КОМПАНИИ"
"OUR SERVICES","НАШИ СЕРВИСЫ"
"RESTORATION","РЕСТАВРАЦИЯ"
"TO MEASURE","СДЕЛАТЬ ЗАМЕР"
"SELECTION","ПОДБОР"
"USERS","ПОЛЬЗОВАТЕЛЯМ"
"CONTACT US","СВЯЗАТЬСЯ С НАМИ"
"WORKING CONDITIONS","УСЛОВИЯ РАБОТЫ"
"WRITE TO THE DIRECTOR","НАПИСАТЬ ДИРУКТОРУ"
"HELP","ПОМОЩЬ"
"REVIEWS","ОТЗЫВЫ"
"FREQUENTLY ASKED QUESTIONS","ЧАСТЫЕ ВОПРОСЫ"
"Delivery of articles","ДОСТАВКА ИЗДЕЛИЯ"