"Featured Products","Featured Products"
"Heading","Heading"
"Heading for CMS block","Heading for CMS block"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Layout","Layout"
"Sort By in Main Block","Sort By in Main Block"
"Number Of Items in Main Block","Number Of Items in Main Block"
"Number Of Items per row in Main Block","Number Of Items per row in Main Block"
"View","View"
"How to show the featured products","How to show the featured products"
"How many featured products will be showed in main block?","How many featured products will be showed in main block?"
"Main block is used in content section of the site","Main block is used in content section of the site"
"Use this code in CMS pages to display Featured Products","Use this code in CMS pages to display Featured Products"
"Custom Code:","Custom Code:"
"Show Featured Products On Product Page:","Show Featured Products On Product Page:"
"Show Featured Products On Homepage:","Show Featured Products On Homepage:"